inputs\person\person0.jpg,outputs/person\person0_class_person.png,person
inputs\person\person1.jpg,outputs/person\person1_class_person.png,person
inputs\person\person10.jpg,outputs/person\person10_class_person.png,person
inputs\person\person11.jpg,outputs/person\person11_class_person.png,person
inputs\person\person12.jpg,outputs/person\person12_class_person.png,person
inputs\person\person13.jpg,outputs/person\person13_class_person.png,person
inputs\person\person14.jpg,outputs/person\person14_class_person.png,person
inputs\person\person15.jpg,outputs/person\person15_class_person.png,person
inputs\person\person16.jpg,outputs/person\person16_class_person.png,person
inputs\person\person17.jpg,outputs/person\person17_class_person.png,person
inputs\person\person18.jpg,outputs/person\person18_class_person.png,person
inputs\person\person19.jpg,outputs/person\person19_class_person.png,person
inputs\person\person3.jpg,outputs/person\person3_class_person.png,person
inputs\person\person4.jpg,outputs/person\person4_class_person.png,person
inputs\person\person5.jpg,outputs/person\person5_class_person.png,person
inputs\person\person6.jpg,outputs/person\person6_class_person.png,person
inputs\person\person7.jpg,outputs/person\person7_class_person.png,person
inputs\person\person9.jpg,outputs/person\person9_class_person.png,person
inputs\person\person17.jpg,outputs/person\person17_class_cell phone.png,cell phone
inputs\bicycle\bicycle0.jpg,outputs/bicycle\bicycle0_class_bicycle.png,bicycle
inputs\bicycle\bicycle1.jpg,outputs/bicycle\bicycle1_class_bicycle.png,bicycle
inputs\bicycle\bicycle10.jpg,outputs/bicycle\bicycle10_class_bicycle.png,bicycle
inputs\bicycle\bicycle11.jpg,outputs/bicycle\bicycle11_class_bicycle.png,bicycle
inputs\bicycle\bicycle12.jpg,outputs/bicycle\bicycle12_class_bicycle.png,bicycle
inputs\bicycle\bicycle13.jpg,outputs/bicycle\bicycle13_class_bicycle.png,bicycle
inputs\bicycle\bicycle15.jpg,outputs/bicycle\bicycle15_class_bicycle.png,bicycle
inputs\bicycle\bicycle16.jpg,outputs/bicycle\bicycle16_class_bicycle.png,bicycle
inputs\bicycle\bicycle17.jpg,outputs/bicycle\bicycle17_class_bicycle.png,bicycle
inputs\bicycle\bicycle18.jpg,outputs/bicycle\bicycle18_class_person.png,person
inputs\bicycle\bicycle19.jpg,outputs/bicycle\bicycle19_class_bicycle.png,bicycle
inputs\bicycle\bicycle2.jpg,outputs/bicycle\bicycle2_class_bicycle.png,bicycle
inputs\bicycle\bicycle3.jpg,outputs/bicycle\bicycle3_class_bicycle.png,bicycle
inputs\bicycle\bicycle4.jpg,outputs/bicycle\bicycle4_class_person.png,person
inputs\bicycle\bicycle5.jpg,outputs/bicycle\bicycle5_class_bicycle.png,bicycle
inputs\bicycle\bicycle6.jpg,outputs/bicycle\bicycle6_class_person.png,person
inputs\bicycle\bicycle7.jpg,outputs/bicycle\bicycle7_class_bicycle.png,bicycle
inputs\bicycle\bicycle8.jpg,outputs/bicycle\bicycle8_class_bicycle.png,bicycle
inputs\bicycle\bicycle9.jpg,outputs/bicycle\bicycle9_class_bicycle.png,bicycle
inputs\bicycle\bicycle12.jpg,outputs/bicycle\bicycle12_class_person.png,person
inputs\bicycle\bicycle15.jpg,outputs/bicycle\bicycle15_class_person.png,person
inputs\bicycle\bicycle3.jpg,outputs/bicycle\bicycle3_class_person.png,person
inputs\bicycle\bicycle8.jpg,outputs/bicycle\bicycle8_class_bottle.png,bottle
inputs\bicycle\bicycle3.jpg,outputs/bicycle\bicycle3_class_backpack.png,backpack
inputs\bicycle\bicycle6.jpg,outputs/bicycle\bicycle6_class_bicycle.png,bicycle
inputs\car\car1.jpg,outputs/car\car1_class_car.png,car
inputs\car\car10.jpg,outputs/car\car10_class_car.png,car
inputs\car\car11.jpg,outputs/car\car11_class_car.png,car
inputs\car\car13.jpg,outputs/car\car13_class_car.png,car
inputs\car\car14.jpg,outputs/car\car14_class_car.png,car
inputs\car\car15.jpg,outputs/car\car15_class_car.png,car
inputs\car\car17.jpg,outputs/car\car17_class_car.png,car
inputs\car\car18.jpg,outputs/car\car18_class_car.png,car
inputs\car\car19.jpg,outputs/car\car19_class_car.png,car
inputs\car\car2.jpg,outputs/car\car2_class_car.png,car
inputs\car\car3.jpg,outputs/car\car3_class_car.png,car
inputs\car\car4.jpg,outputs/car\car4_class_car.png,car
inputs\car\car6.jpg,outputs/car\car6_class_car.png,car
inputs\car\car7.jpg,outputs/car\car7_class_car.png,car
inputs\car\car8.jpg,outputs/car\car8_class_car.png,car
inputs\car\car9.jpg,outputs/car\car9_class_car.png,car
